============================================================
RELATÓRIO DE CAPITALIZAÇÃO
============================================================

A meta de R$ 800000.00 foi atingida em 15 anos e 2 meses.

Simulação considerando pagamentos mensais de R$ 1275.00
Idade inicial: 23 anos
Idade final da capitalização: 55 anos
Investimento escolhido: TesouroSelic2029 (RendaFixa)
Taxa mensal aplicada: 0.01180
Patrimônio final acumulado: R$ 9663949.63

Periodo  Pagamento Acumulado  Montante Capitalizado  Juros Acumulados
    221            281775.01             1335896.68        1054121.67
    222            283050.01             1352935.26        1069885.25
    223            284325.01             1370174.90        1085849.89
    224            285600.01             1387617.96        1102017.95
    225            286875.01             1405266.86        1118391.84
    226            288150.01             1423124.01        1134973.99
    227            289425.01             1441191.87        1151766.86
    228            290700.01             1459472.93        1168772.92
    229            291975.01             1477969.72        1185994.70
    230            293250.01             1496684.76        1203434.75
    231            294525.01             1515620.64        1221095.63
    232            295800.01             1534779.96        1238979.95
    233            297075.01             1554165.37        1257090.36
    234            298350.01             1573779.52        1275429.51
    235            299625.01             1593625.12        1294000.11
    236            300900.01             1613704.90        1312804.88
    237            302175.01             1634021.61        1331846.60
    238            303450.01             1654578.07        1351128.06
    239            304725.01             1675377.09        1370652.08
    240            306000.01             1696421.54        1390421.53
    241            307275.01             1717714.32        1410439.31
    242            308550.01             1739258.35        1430708.34
    243            309825.01             1761056.60        1451231.58
    244            311100.01             1783112.07        1472012.05
    245            312375.01             1805427.79        1493052.78
    246            313650.01             1828006.84        1514356.83
    247            314925.01             1850852.32        1535927.31
    248            316200.01             1873967.38        1557767.37
    249            317475.01             1897355.19        1579880.18
    250            318750.01             1921018.99        1602268.97
    251            320025.01             1944962.01        1624937.00
    252            321300.01             1969187.56        1647887.55
    253            322575.01             1993698.98        1671123.96
    254            323850.01             2018499.63        1694649.61
    255            325125.01             2043592.92        1718467.91
    256            326400.01             2068982.32        1742582.31
    257            327675.01             2094671.31        1766996.30
    258            328950.01             2120663.44        1791713.42
    259            330225.01             2146962.26        1816737.25
    260            331500.01             2173571.42        1842071.41
    261            332775.01             2200494.56        1867719.55
    262            334050.01             2227735.40        1893685.39
    263            335325.01             2255297.68        1919972.67
    264            336600.01             2283185.19        1946585.18
    265            337875.01             2311401.78        1973526.77
    266            339150.01             2339951.32        2000801.31
    267            340425.01             2368837.75        2028412.74
    268            341700.01             2398065.04        2056365.02
    269            342975.01             2427637.20        2084662.19
    270            344250.01             2457558.32        2113308.31
    271            345525.01             2487832.51        2142307.50
    272            346800.01             2518463.94        2171663.92
    273            348075.01             2549456.81        2201381.80
    274            349350.01             2580815.41        2231465.39
    275            350625.01             2612544.03        2261919.01
    276            351900.01             2644647.05        2292747.03
    277            353175.01             2677128.89        2323953.87
    278            354450.01             2709994.01        2355543.99
    279            355725.01             2743246.94        2387521.92
    280            357000.01             2776892.25        2419892.24
    281            358275.01             2810934.58        2452659.57
    282            359550.01             2845378.61        2485828.60
    283            360825.01             2880229.08        2519404.07
    284            362100.01             2915490.79        2553390.77
    285            363375.01             2951168.58        2587793.56
    286            364650.01             2987267.37        2622617.35
    287            365925.01             3023792.13        2657867.11
    288            367200.01             3060747.87        2693547.86
    289            368475.01             3098139.70        2729664.69
    290            369750.01             3135972.75        2766222.74
    291            371025.01             3174252.23        2803227.22
    292            372300.01             3212983.41        2840683.39
    293            373575.01             3252171.61        2878596.60
    294            374850.01             3291822.24        2916972.22
    295            376125.01             3331940.74        2955815.73
    296            377400.01             3372532.65        2995132.63
    297            378675.02             3413603.53        3034928.52
    298            379950.02             3455159.06        3075209.04
    299            381225.02             3497204.93        3115979.92
    300            382500.02             3539746.95        3157246.94
    301            383775.02             3582790.97        3199015.95
    302            385050.02             3626342.91        3241292.89
    303            386325.02             3670408.75        3284083.74
    304            387600.02             3714994.58        3327394.56
    305            388875.02             3760106.52        3371231.50
    306            390150.02             3805750.77        3415600.76
    307            391425.02             3851933.64        3460508.62
    308            392700.02             3898661.45        3505961.44
    309            393975.02             3945940.66        3551965.65
    310            395250.02             3993777.76        3598527.75
    311            396525.02             4042179.34        3645654.33
    312            397800.02             4091152.06        3693352.04
    313            399075.02             4140702.66        3741627.64
    314            400350.02             4190837.95        3790487.93
    315            401625.02             4241564.84        3839939.82
    316            402900.02             4292890.31        3889990.29
    317            404175.02             4344821.41        3940646.40
    318            405450.02             4397365.31        3991915.29
    319            406725.02             4450529.22        4043804.20
    320            408000.02             4504320.47        4096320.45
    321            409275.02             4558746.45        4149471.44
    322            410550.02             4613814.66        4203264.65
    323            411825.02             4669532.68        4257707.66
    324            413100.02             4725908.16        4312808.15
    325            414375.02             4782948.88        4368573.87
    326            415650.02             4840662.68        4425012.67
    327            416925.02             4899057.50        4482132.49
    328            418200.02             4958141.38        4539941.37
    329            419475.02             5017922.46        4598447.44
    330            420750.02             5078408.94        4657658.93
    331            422025.02             5139609.17        4717584.15
    332            423300.02             5201531.56        4778231.54
    333            424575.02             5264184.64        4839609.62
    334            425850.02             5327577.02        4901727.00
    335            427125.02             5391717.43        4964592.41
    336            428400.02             5456614.70        5028214.68
    337            429675.02             5522277.75        5092602.73
    338            430950.02             5588715.63        5157765.61
    339            432225.02             5655937.48        5223712.46
    340            433500.02             5723952.54        5290452.53
    341            434775.02             5792770.19        5357995.17
    342            436050.02             5862399.88        5426349.86
    343            437325.02             5932851.20        5495526.18
    344            438600.02             6004133.85        5565533.83
    345            439875.02             6076257.63        5636382.61
    346            441150.02             6149232.47        5708082.45
    347            442425.02             6223068.42        5780643.40
    348            443700.02             6297775.63        5854075.61
    349            444975.02             6373364.38        5928389.36
    350            446250.02             6449845.08        6003595.07
    351            447525.02             6527228.26        6079703.24
    352            448800.02             6605524.56        6156724.54
    353            450075.02             6684744.75        6234669.73
    354            451350.02             6764899.74        6313549.72
    355            452625.02             6846000.56        6393375.54
    356            453900.02             6928058.37        6474158.35
    357            455175.02             7011084.46        6555909.44
    358            456450.02             7095090.26        6638640.24
    359            457725.02             7180087.33        6722362.31
    360            459000.02             7266087.36        6807087.34
    361            460275.02             7353102.20        6892827.18
    362            461550.02             7441143.81        6979593.79
    363            462825.02             7530224.31        7067399.29
    364            464100.02             7620355.96        7156255.94
    365            465375.02             7711551.16        7246176.14
    366            466650.02             7803822.47        7337172.45
    367            467925.02             7897182.58        7429257.56
    368            469200.02             7991644.33        7522444.31
    369            470475.02             8087220.74        7616745.72
    370            471750.02             8183924.95        7712174.93
    371            473025.02             8281770.27        7808745.25
    372            474300.02             8380770.16        7906470.14
    373            475575.02             8480938.25        8005363.23
    374            476850.02             8582288.33        8105438.31
    375            478125.02             8684834.33        8206709.31
    376            479400.02             8788590.38        8309190.36
    377            480675.02             8893570.75        8412895.73
    378            481950.02             8999789.89        8517839.87
    379            483225.02             9107262.42        8624037.40
    380            484500.02             9216003.12        8731503.10
    381            485775.02             9326026.96        8840251.94
    382            487050.02             9437349.08        8950299.06
    383            488325.02             9549984.80        9061659.78
    384            489600.02             9663949.63        9174349.61

============================================================
Fim do relatório de capitalização
============================================================


============================================================
RELATÓRIO DE DESCAPITALIZAÇÃO
============================================================

ETAPA: DESCAPITALIZAÇÃO

O patrimônio acumulado de R$ 9663949.63 será consumido ao longo de 240 meses.
As retiradas mensais possíveis são:

No.  Aplicacao                    Categoria            Taxa     Retirada
==== ==========================  ====================  =======  ==========
1    TesouroSelic2029           RendaFixa              0.0118  R$ 121297.86
2    CDBBancoInter100CDI        RendaFixa              0.0094  R$ 101598.19
3    CDBBancoBrasil             RendaFixa              0.0092  R$ 100013.38
4    LCADaycoval92CDI           RendaFixa              0.0086  R$  95317.29
5    Poupanca                   RendaFixa              0.0050  R$  69235.54

============================================================
Fim do relatório de descapitalização
============================================================
